group1	group2	uij0	uijT
Water	Water	0	0
H+	Water	105	0
Na+	Water	733.286	0.4872
K+	Water	535.023	0.9936
NH4+	Water	54.0297	0.5855
Cl-	Water	1523.39	14.631
SO42-	Water	752.879	9.4905
HSO4-	Water	602.252	5.5499
NO3-	Water	998.92	9.3251
OH-	Water	600.495	8.5455
CO32-	Water	328.141	-0.5059
HCO3-	Water	118.702	0.96
Water	H+	105	0
H+	H+	0	0
Na+	H+	1010	0
K+	H+	1010	0
NH4+	H+	1010	0
Cl-	H+	1010	0
SO42-	H+	1010	0
HSO4-	H+	1010	0
NO3-	H+	1010	0
OH-	H+	1010	0
CO32-	H+	1010	0
HCO3-	H+	1010	0
Water	Na+	733.286	0.4872
H+	Na+	1010	0
Na+	Na+	0	0
K+	Na+	-46.194	0.119
NH4+	Na+	375.977	-0.292
Cl-	Na+	1443.23	15.635
SO42-	Na+	845.135	11.681
HSO4-	Na+	469.488	6.5329
NO3-	Na+	797.474	9.3047
OH-	Na+	1398.14	20.278
CO32-	Na+	476.956	2.8191
HCO3-	Na+	980.982	13.296
Water	K+	535.023	0.9936
H+	K+	1010	0
Na+	K+	-46.194	0.119
K+	K+	0	0
NH4+	K+	184.288	1.0985
Cl-	K+	1465.18	15.329
SO42-	K+	913.824	12.278
HSO4-	K+	445.673	5.2231
NO3-	K+	818.568	10.302
OH-	K+	1805.75	27.283
CO32-	K+	1370.57	5.0517
HCO3-	K+	1123.44	2.7217
Water	NH4+	54.0297	0.5855
H+	NH4+	1010	0
Na+	NH4+	375.977	-0.292
K+	NH4+	184.288	1.0985
NH4+	NH4+	0	0
Cl-	NH4+	1385.31	14.848
SO42-	NH4+	677.178	10.356
HSO4-	NH4+	418.886	5.1053
NO3-	NH4+	807.246	9.9705
OH-	NH4+	2500	0
CO32-	NH4+	0	0
HCO3-	NH4+	0	0
Water	Cl-	1523.39	14.631
H+	Cl-	1010	0
Na+	Cl-	1443.23	15.635
K+	Cl-	1465.18	15.329
NH4+	Cl-	1385.31	14.848
Cl-	Cl-	2214.81	14.436
SO42-	Cl-	2036.06	12.407
HSO4-	Cl-	0	0
NO3-	Cl-	2175.02	13.449
OH-	Cl-	1895.52	13.628
CO32-	Cl-	2372.94	8.9402
HCO3-	Cl-	2014.18	11.636
Water	SO42-	752.879	9.4905
H+	SO42-	1010	0
Na+	SO42-	845.135	11.681
K+	SO42-	913.824	12.278
NH4+	SO42-	677.178	10.356
Cl-	SO42-	2036.06	12.407
SO42-	SO42-	1265.83	8.3194
HSO4-	SO42-	1004.16	8.7877
NO3-	SO42-	1757.79	6.9013
OH-	SO42-	1225.67	8.5902
CO32-	SO42-	1158.91	6.7255
HCO3-	SO42-	956.609	8.6656
Water	HSO4-	602.252	5.5499
H+	HSO4-	1010	0
Na+	HSO4-	469.488	6.5329
K+	HSO4-	445.673	5.2231
NH4+	HSO4-	418.886	5.1053
Cl-	HSO4-	0	0
SO42-	HSO4-	1004.16	8.7877
HSO4-	HSO4-	822.989	5.7939
NO3-	HSO4-	0	0
OH-	HSO4-	2500	0
CO32-	HSO4-	2500	0
HCO3-	HSO4-	2500	0
Water	NO3-	998.92	9.3251
H+	NO3-	1010	0
Na+	NO3-	797.474	9.3047
K+	NO3-	818.568	10.302
NH4+	NO3-	807.246	9.9705
Cl-	NO3-	2175.02	13.449
SO42-	NO3-	1757.79	6.9013
HSO4-	NO3-	0	0
NO3-	NO3-	2753.71	2.2866
OH-	NO3-	1379.95	6.6369
CO32-	NO3-	0	0
HCO3-	NO3-	0	0
Water	OH-	600.495	8.5455
H+	OH-	1010	0
Na+	OH-	1398.14	20.278
K+	OH-	1805.75	27.283
NH4+	OH-	2500	0
Cl-	OH-	1895.52	13.628
SO42-	OH-	1225.67	8.5902
HSO4-	OH-	2500	0
NO3-	OH-	1379.95	6.6369
OH-	OH-	1562.88	5.6169
CO32-	OH-	1339.04	3.8129
HCO3-	OH-	2500	0
Water	CO32-	328.141	-0.5059
H+	CO32-	1010	0
Na+	CO32-	476.956	2.8191
K+	CO32-	1370.57	5.0517
NH4+	CO32-	0	0
Cl-	CO32-	2372.94	8.9402
SO42-	CO32-	1158.91	6.7255
HSO4-	CO32-	2500	0
NO3-	CO32-	0	0
OH-	CO32-	1339.04	3.8129
CO32-	CO32-	1065.97	-4.4653
HCO3-	CO32-	565.786	-1.2033
Water	HCO3-	118.702	0.96
H+	HCO3-	1010	0
Na+	HCO3-	980.982	13.296
K+	HCO3-	1123.44	2.7217
NH4+	HCO3-	0	0
Cl-	HCO3-	2014.18	11.636
SO42-	HCO3-	956.609	8.6656
HSO4-	HCO3-	2500	0
NO3-	HCO3-	0	0
OH-	HCO3-	2500	0
CO32-	HCO3-	565.786	-1.2033
HCO3-	HCO3-	253.461	1.2824
