Table 1 - Results of Fit for Osmotic Coefficients Data of Aqueous Electrolysis at 298.15 K with alpha = 0.2
Aqueous Solutions of Salts at 25 C	Maximum Molality	tau_ca,w	tau_w,ca	RMSE
NaCl	6	-4.5916	9.0234	1.2
NaBr	4	-4.6070	8.9288	0.6
NaI	3.5	-4.6920	8.9820	0.7
NaF	1	-3.7493	7.4322	0.02
NaNO3	6	-3.6151	7.2886	0.2
KCl	4.8	-4.1341	8.1354	0.2
KBr	5.5	-4.1707	8.1699	0.3
KI	4.5	-4.1217	7.9408	0.2
LiCl	6	-5.1737	10.1242	2.4
LiNO3	3.5	-4.6136	8.7565	0.4
AgNO3	6	-3.1090	7.0619	0.7
KNO3	3.5	-3.2747	7.2728	0.6
RbCl	5	-4.1358	8.2053	0.2
RbBr	5	-4.0399	8.0151	0.2
RbI	5	-4.0916	8.1419	0.1
CsCl	6	-4.3726	8.4238	0.4
NH4Cl	6	-4.0121	7.8599	0.07
NH4NO3	6	-3.3162	6.8739	0.5
HCl	6	-5.2286	10.1728	1.9
HBr	3	-5.2194	9.9746	0.8
HI	3	-5.2039	9.7714	1.0
HNO3	3	-4.3663	8.7223	0.5
LiBr	6	-5.3628	10.5393	2.8
LiI	3	-5.0883	9.5925	1.5
HClO4	6	-5.4365	10.7078	3.3
NaOH	6	-4.7893	9.4200	2.3
KOH	6	-5.0644	9.2928	1.5
CaCl2	2.5	-4.8618	9.3732	2.5
CaBr2	6	-5.4801	11.0038	13.0
CaI2	2	-5.1151	9.7214	2.4
MgCl2	5	-5.3583	10.6681	9.0
MgBr2	5	-5.5307	10.9725	9.0
MgI2	5	-5.7064	11.3459	11.0
SrCl2	4	-4.9537	9.7230	5.0
baCl2	1.8	-4.2068	7.9145	1.2
Pb(ClO4)2	6	-5.1308	10.1330	7.0
Na2SO4	4	-3.8760	7.9756	2.2
(NH4)2SO4	5.5	-3.7871	7.7870	0.8
MgSO4	3	-4.1796	8.2533	5.0
AlCl3	1.8	-5.2306	10.0495	6.0
LaCl3	2	-4.8883	9.3370	5.0
CrCl3	1.2	-4.7759	8.7991	3.5
