#source: https://henrys-law.org/henry/browse/
"id","hominus","mindhr","htype","species_id","literature_id","id-2","iupac","formula","trivial","casrn","inchikey","subcat_id"
1,"1.2E-5","1700","L",1,729,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
2,"1.3E-5","1500","L",1,603,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
3,"1.3E-5","1500","L",1,602,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
4,"1.3E-5","1400","L",1,239,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
5,"1.3E-5","1500","L",1,57,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
6,"1.3E-5","1500","L",1,744,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
7,"1.3E-5","1400","M",1,569,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
8,"1.3E-5","1400","M",1,67,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
9,"1.2E-5","1800","M",1,126,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
10,"1.3E-5","1200","M",1,747,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
11,"1.3E-5","1500","X",1,53,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
12,"1.3E-5","1500","X",1,53,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
13,"1.2E-5","1700","?",1,188,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
14,"1.3E-5","","?",1,636,1,"oxygen","O2","","7782-44-7","MYMOFIZGZYHOMD-UHFFFAOYSA-N",1
15,"1.0E-4","2800","L",2,603,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
16,"1.0E-4","2800","L",2,602,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
17,"1.1E-4","2400","L",2,725,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
18,"1.3E-4","2000","L",2,744,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
19,"1.1E-4","2300","M",2,268,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
20,"1.2E-4","1400","M",2,669,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
21,"1.1E-4","2300","M",2,401,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
22,"","","M",2,587,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
23,"1.3E-4","2000","M",2,99,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
24,"1.1E-4","2600","T",2,136,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
25,"1.0E-6","","X",2,53,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
26,"1.2E-4","","X",2,552,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
27,"9.3E-5","2500","?",2,636,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
28,"9.3E-5","2500","?",2,327,2,"ozone","O3","","10028-15-6","CBENFWSGALASAD-UHFFFAOYSA-N",1
29,"2.6E-6","","L",3,603,3,"hydrogen atom","H","","12385-13-6","YZCKVEUIGOORGS-UHFFFAOYSA-N",2
30,"2.6E-6","","L",3,602,3,"hydrogen atom","H","","12385-13-6","YZCKVEUIGOORGS-UHFFFAOYSA-N",2
31,"7.8E-6","530","L",4,239,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
32,"7.7E-6","490","L",4,744,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
33,"7.9E-6","500","M",4,746,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
34,"7.7E-6","","R",4,323,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
35,"7.7E-6","490","X",4,781,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
36,"7.7E-6","500","X",4,781,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
37,"7.7E-6","640","?",4,188,4,"hydrogen","H2","","1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N",2
38,"7.9E-6","780","X",5,781,5,"deuterium","D2","","7782-39-0","UFHFLCQGNIYNRP-VVKOMZTBSA-N",2
39,"3.8E-1","","L",6,603,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
40,"3.8E-1","","L",6,602,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
41,"2.9E-1","4300","T",6,297,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
42,"3.2E-1","","T",6,512,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
43,"2.9E-1","3100","T",6,68,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
44,"2.5E-1","","C",6,436,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
45,"2.0","","C",6,436,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
46,"8.9E-1","","C",6,436,6,"hydroxyl radical","OH","","3352-57-6","TUJKJAMUKRIRHC-UHFFFAOYSA-N",2
