Lee-Kesler-Plocker Interaction Parameters - taken from ""Calculation of High-Pressure Vapor-Liquid Equilibria from a Corresponding-States Correlation with Emphasis on Asymmetric Mixtures"" - Ulf Plöcker, Helmut Knapp and John Prausnitz (Ind. Eng. Chem. Process Des. Dev., Vol 17, No. 3, 1978.
Methane	Ethane	1.052
Methane	Ethylene	1.014
Methane	Propane	1.113
Methane	Propylene	1.089
Methane	N-butane	1.171
Methane	Isobutane	1.155
Methane	N-pentane	1.2401
Methane	Isopentane	1.228
Methane	N-hexane	1.304
Methane	Cyclohexane	1.269
Methane	Benzene	1.234
Methane	N-heptane	1.367
Methane	N-octane	1.423
Methane	N-nonane	1.484
Methane	N-decane	1.533
Ethane	Ethylene	0.991
Ethane	Propane	1.01
Ethane	Propylene	1.002
Ethane	N-butane	1.029
Ethane	Isobutane	1.036
Ethane	N-pentane	1.064
Ethane	Isopentane	1.07
Ethane	N-hexane	1.106
Ethane	Cyclohexane	1.081
Ethane	Benzene	1.066
Ethane	N-heptane	1.143
Ethane	N-octane	1.165
Ethane	N-nonane	1.214
Ethane	N-decane	1.237
Ethylene	N-butane	0.998
Ethylene	Benzene	1.094
Ethylene	N-heptane	1.163
Acetylene	Ethylene	0.948
Propane	Propylene	0.992
Propane	N-butane	1.003
Propane	Isobutane	1.003
Propane	N-pentane	1.008
Propane	Isopentane	1.009
Propane	N-hexane	1.047
Propane	Cyclohexane	1.037
Propane	Benzene	1.011
Propane	N-heptane	1.067
Propane	N-octane	1.09
Propane	N-nonane	1.115
Propane	N-decane	1.139
Propylene	N-butane	1.01
Propylene	Isobutane	1.009
Propylene	Isobutene	1.006
N-butane	Isobutane	1.001
N-butane	N-pentane	0.994
N-butane	Isopentane	0.998
N-butane	N-hexane	1.018
N-butane	Cyclohexane	1.008
N-butane	Benzene	0.999
N-butane	N-heptane	1.027
N-butane	N-octane	1.046
N-butane	N-nonane	1.064
N-butane	N-decane	1.078
N-pentane	Isopentane	0.987
N-pentane	N-hexane	0.998
N-pentane	Cyclohexane	0.996
N-pentane	Benzene	0.977
N-pentane	N-heptane	1.004
N-pentane	N-octane	1.02
N-pentane	N-nonane	1.033
N-pentane	N-decane	1.045
N-hexane	Cyclohexane	0.998
N-hexane	Benzene	0.978
N-hexane	N-heptane	1.008
N-hexane	N-octane	1.005
N-hexane	N-nonane	1.015
N-hexane	N-decane	1.025
Benzene	Cyclohexane	0.979
Benzene	N-heptane	0.985
Benzene	N-octane	0.987
Benzene	Isooctane	0.982
Benzene	N-nonane	1.034
Benzene	N-decane	1.047
Cyclohexane	N-heptane	0.999
Cyclohexane	N-octane	1.01
Cyclohexane	N-nonane	1.021
Cyclohexane	N-decane	1.032
N-heptane	N-octane	0.993
N-heptane	Isooctane	1.002
N-heptane	N-nonane	1.002
N-heptane	N-decane	1.01
N-octane	N-nonane	0.993
N-octane	N-decane	0.999
N-octane	N-decane	0.991
Nitrogen	Nitrogen	0.977
Nitrogen	Ethylene	1.032
Nitrogen	Ethane	1.082
Nitrogen	Propane	1.177
Nitrogen	Propylene	1.151
Nitrogen	N-butane	1.276
Nitrogen	N-pentane	1.372
Nitrogen	N-hexane	1.442
Nitrogen	Oxygen	0.997
Nitrogen	Carbon monoxide	0.987
Nitrogen	Argon	0.988
Nitrogen	Hydrogen sulfide	0.983
Nitrogen	Carbon dioxide	1.11
Nitrogen	Nitrous oxide	1.073
Nitrogen	Ammonia	1.033
Carbon dioxide	Methane	0.975
Carbon dioxide	Ethane	0.938
Carbon dioxide	Propane	0.925
Carbon dioxide	N-butane	0.955
Carbon dioxide	Isobutane	0.946
Carbon dioxide	N-pentane	1.002
Carbon dioxide	N-hexane	1.018
Carbon dioxide	Cyclohexane	1.054
Carbon dioxide	Benzene	1018
Carbon dioxide	N-heptane	1.058
Carbon dioxide	N-octane	1.09
Carbon dioxide	N-nonane	1.126
Carbon dioxide	N-decane	1.16
Carbon dioxide	Hydrogen sulfide	0.922
Carbon dioxide	R12	0.969
Carbon dioxide	Methanol	1.069
Hydrogen	Methane	1.216
Hydrogen	Methane	1.604
Hydrogen	Ethylene	1408
Hydrogen	Propane	1828
Hydrogen	itbutane	2093
Hydrogen	N-pentane	2.335
Hydrogen	N-hexane	2.466
Hydrogen	N-heptane	2.834
Hydrogen	Nitrogen	1.08
Hydrogen	Carbon monoxide	1.085
Hydrogen	Carbon dioxide	1.624
Argon	Oxygen	0.985
Argon	Ammonia	1.01
Argon	Methane	0.984
Oxygen	Nitrous oxide	1.057
Carbon monoxide	Carbon Methane	0.974
Krypton	Oxygen	0.989
Hydrogen sulfide	Isobutane	0.947
Nitrous oxide	Methane	1.017
Water	Carbon dioxide	0.92
Water	Ammonia	1.152
Water	Methanol	0.979
