compound	cas_no	mw	m	sigma_A	epsilon_k_K	kAiBi	epsilon_AiBi_k_K
1-butanol	71-36-3	74.123	2.7515	3.6139	259.59	0.006692	2544.6
1-butene	106-98-9	56.107	2.2864	3.6431	222		
1-chlorobutane	109-69-3	92.568	2.8585	3.6424	258.66		
1-heptanol	111-70-6	116.203	4.3985	3.545	253.46	0.001155	2878.5
1-hexanol	111-27-3	102.177	3.5146	3.6735	262.32	0.005747	2538.9
1-hexene	592-41-6	84.616	2.9853	3.7753	236.81		
1-nonanol	143-08-8	144.257	4.6839	3.7292	263.64	0.001427	2941.9
1-octanol	111-87-5	130.23	4.3555	3.7145	262.74	0.002197	2754.8
1-octene	111-66-0	112.215	3.7424	3.8133	243.02		
1-pentanol	71-41-0	88.15	3.626	3.4508	247.28	0.010319	2252.1
1-pentene	109-67-1	70.134	2.6006	3.7399	231.99		
1-propanol	71-23-8	60.096	2.9997	3.2522	233.4	0.015268	2276.8
1-propylamine	107-10-8	59.11	2.4539	3.5347	250.52	0.022674	1028.1
2.2-dimethylbutane	75-83-2	86.177	2.6008	4.0042	243.51		
2.3-dimethylbutane	79-29-8	86.177	2.6853	3.9545	246.07		
2-chloropropane	75-29-6	78.541	2.4151	3.6184	251.47		
2-methyl-2-butanol	75-85-4	88.15	2.5487	3.9053	266.01	0.001863	2618.8
2-methylhexane	591-76-4	100.204	3.3478	3.8612	237.42		
2-methylpentane	107-83-5	86.177	2.9317	3.8535	235.58		
2-propanol	67-63-0	60.096	3.0929	3.2085	208.42	0.024675	2253.9
2-propylamine	75-31-0	59.11	2.5908	3.4777	231.8	0.02134	932.2
3-methylpentane	96-14-0	86.177	2.8852	3.8605	240.48		
acetic acid	64-19-7	60.053	1.3403	3.8582	211.59	0.07555	3044.4
aniline	62-53-3	93.13	2.6607	3.7021	335.47	0.074883	1351.6
argon	7440-37-1	39.948	0.9285	3.4784	122.23		
benzene	71-43-2	78.114	2.4653	3.6478	287.35		
biphenyl	92-52-4	154.211	3.8877	3.8151	327.42		
bromobenzene	108-86-1	157.01	2.6456	3.836	334.37		
N-butane	106-97-8	58.123	2.3316	3.7086	222.88		
