CompoundName	Kappa1	Kappa2	Kappa3
Nitrogen	0.01996	0.3162	0.535
Oxygen	0.01512	-0.009	0.49
Carbon dioxide	0.04285	0	0
Ammonia	0.00100	-0.1265	0.51
Water	-0.06635	0.0199	0.443
Hydrogen chloride	0.01989	-0.0036	0.31
Methane	-0.00159	0.1521	0.517
Ethane	0.02669	0.1358	0.424
Propene	0.04400	0.261	0.424
Propane	0.03136	0.2757	0.447
Butane	0.03443	0.6767	0.461
Pentane	0.03946	0.394	0.457
Neopentane	0.04303	0.8697	0.615
Hexane	0.05104	0.8634	0.46
Heptane	0.04648	0.9331	0.496
Octane	0.04464	0.6214	0.509
Nonane	0.04104	0.6621	0.519
Decane	0.04510	0.8549	0.527
Undecane	0.02919	1.3288	0.568
Dodecane	0.05426	0.8744	0.505
Tridecane	0.04157	0.9387	0.528
Tetradecane	0.02686	0.9408	0.528
Pentadecane	0.01892	1.0908	0.559
Hexadecane	0.02665	0.0334	0.767
Heptadecane	0.04048	2.9805	0.571
Octadecane	0.08291	4.1441	0.577
Cyclohexane	0.07023	0.6146	0.53
Bicyclohexyl	0.01805	3.0438	0.606
Benzene	0.07019	0.7939	0.523
Toluene	0.03849	0.5261	0.51
Ethylbenzene	0.03994	0.5342	0.519
P-Xylene	0.01277	0.5963	0.524
Indane	0.01173	0.9246	0.548
N-Propylbenzene	0.02715	0.731	0.53
1,2,3-Trimethylbenzene	-0.01384	0.4777	0.538
Naphtalene	0.03297	0.6634	0.51
1-Methyl-naphtalene	-0.01842	-0.814	0.577
2-Methyl-naphtalene	-0.01639	-0.075	0.597
Biphenyl	0.11487	0.1077	0.407
Diphenylmethane	0.05955	0.3703	0.579
9,10-Dihydrophenanthrene	-0.01393	-5.8256	0.587
Acetone	-0.00888	0.2871	0.537
Butanone	0.00554	0.6847	0.613
2-Pentanone	0.01681	0.7787	0.62
3-Pentanone	0.03558	0.618	0.61
Methylbutanone	0.04113	0.5138	0.615
2-Hexanone	0.00984	0.8448	0.55
3-Hexanone	0.02321	0.8891	0.619
Dimethylbutanone	0.40050	0.7451	0.535
2-Heptanone	0.02731	0.9236	0.561
5-Nonanone	0.02002	0.9649	0.579
Methanol	-0.16816	-1.34	0.588
Ethanol	-0.03374	-2.6846	0.592
1-Propanol	0.21419	-3.6816	0.64
2-Propanol	0.23264	-3.5578	0.652
1-Butanol	0.33431	-1.1748	0.642
2-Butanol	0.39045	0.0026	0.676
2-Methyl-1-Propanol	0.37200	-1.2792	0.642
2-Methyl-2-Propanol	0.43099	-0.048	0.658
1-Pentanol	0.36781	0.2918	0.621
1-Hexanol	-0.00237	-3.3938	0.551
1-Octanol	0.82940	2.7372	0.543
1-Decanol	0.80898	1.4978	0.47
Dimethyl Ether	0.05717	-0.1211	0.481
Methyl Ethyl Ether	0.16948	0.0515	0.768
Methyl n-Propyl Ether	0.02300	0.9179	0.558
Methyl i-Propyl Ether	0.04123	0.3833	0.562
Methyl n-Butyl Ether	0.01622	0.614	0.548
Methyl t-Butyl Ether	0.05129	-0.2022	0.585
Ethyl n-Propyl Ether	-0.01668	1.1679	0.553
Di-n-Propyl Ether	-0.03162	1.4094	0.577
Di-i-Propyl Ether	0.03751	0.881	0.59
Methyl Phenyl Ether	0.01610	1.0478	0.616
Nitromethane	-0.10299	0.5905	0.463
Acetonitrile	-0.13991	-0.3777	0.522
Acetic Acid	-0.19724	0.8136	0.541
Dimethylformamide	0.18999	-0.1857	0.47
2-Methoxyethanol	-0.42503	0.002	0.407
1-Propylamine	0.14326	1.1002	0.614
2-Propylamine	0.06001	2.2851	0.603
2-Methoxypropionitrile	-0.09508	0.0033	0.931
2-Methyl-2-Propylamine	0.13440	0.9308	0.635
Tetrahydrofuran	0.03961	0.5029	0.573
Pyridine	0.06946	0.4241	0.575
Furfural	-0.03471	4.5512	0.539
N-Methylpyrrolidone	0.11367	-0.7871	0.537
Hexafluorobenzene	0.02752	0.8172	0.565
Nitrotoluene	-0.00901	0.5425	0.582
M-Cresol	0.24705	5.691	0.597
Thianaphthene	0.06043	-0.121	0.592
