group_i	id_i	group_j	id_j	aij	aji
1	CH2	1	CH2	0	0
1	CH2	2	C=C	86.02	-35.36
1	CH2	3	ACH	61.13	-11.12
1	CH2	4	ACCH2	76.5	-69.7
1	CH2	5	OH	986.5	156.4
1	CH2	6	MeOH	697.2	16.51
1	CH2	7	H2O	1318	300
1	CH2	8	ACOH	1333	275.8
1	CH2	9	CH2CO	476.4	26.76
1	CH2	10	CHO	677	505.7
1	CH2	11	COOC	232.1	114.8
1	CH2	12	HCOO	507	329.3
1	CH2	13	CH2O	251.5	83.36
1	CH2	14	CNH2	391.5	-30.48
1	CH2	15	CNH	255.7	65.33
1	CH2	16	C3N	206.6	-83.98
1	CH2	17	ACNH2	920.7	1139
1	CH2	18	Pyridine	287.77	-101.6
1	CH2	19	CCN	597	24.82
1	CH2	20	COOH	663.5	315.3
1	CH2	21	CCl	35.93	91.46
1	CH2	22	CCl2	53.76	34.01
1	CH2	23	CCl3	24.9	36.7
1	CH2	24	CCl4	104.3	-78.45
1	CH2	25	ACCl	11.44	106.8
1	CH2	26	CNO2	661.5	-32.69
1	CH2	27	ACNO2	543	5541
1	CH2	28	CS2	153.6	-52.65
1	CH2	29	CH3SH	184.4	-7.481
1	CH2	30	Furfural	354.55	-25.31
1	CH2	31	DOH	3025	140
1	CH2	32	I	335.8	128
1	CH2	33	Br	479.5	-31.52
1	CH2	34	C#C	298.9	-72.88
1	CH2	35	DMSO	526.5	50.49
1	CH2	36	ACRY	689	-165.9
1	CH2	37	ClCC	-4.189	47.41
1	CH2	38	ACF	125.8	-5.132
1	CH2	39	DMF	485.3	-31.95
1	CH2	40	CF2	-2.859	147.3
1	CH2	41	COO	387.1	529
1	CH2	42	SiH2	-450.4	-34.36
1	CH2	43	SiO	252.7	110.2
1	CH2	44	NMP	220.3	13.89
1	CH2	45	CClF	-5.869	30.74
1	CH2	46	CON	390.9	27.97
1	CH2	47	OCCOH	553.3	-11.92
1	CH2	48	CH2S	187	39.93
1	CH2	49	Morpholine	216.1	-23.61
1	CH2	50	Thiophene	92.99	-8.479
1	CH2	52	CH2SuCH2	808.59	245.21
1	CH2	53	Oxides	408.3	21.49
1	CH2	54	Anhydride	718.01	272.82
1	CH2	56	Aromatic Bromo	153.72	-20.31
2	C=C	1	CH2	-35.36	86.02
2	C=C	2	C=C	0	0
2	C=C	3	ACH	38.81	3.446
2	C=C	4	ACCH2	74.15	-113.6
2	C=C	5	OH	524.1	457
2	C=C	6	MeOH	787.6	-12.52
2	C=C	7	H2O	270.6	496.1
2	C=C	8	ACOH	526.1	217.5
2	C=C	9	CH2CO	182.6	42.92
2	C=C	10	CHO	448.8	56.3
2	C=C	11	COOC	37.85	132.1
2	C=C	12	HCOO	333.5	110.4
2	C=C	13	CH2O	214.5	26.51
2	C=C	14	CNH2	240.9	1.163
2	C=C	15	CNH	163.9	-28.7
2	C=C	16	C3N	61.11	-25.38
2	C=C	17	ACNH2	749.3	2000
2	C=C	18	Pyridine	280.5	-47.63
2	C=C	19	CCN	336.9	-40.62
2	C=C	20	COOH	318.9	1264
2	C=C	21	CCl	-36.87	40.25
2	C=C	22	CCl2	58.55	-23.5
2	C=C	23	CCl3	-13.99	51.06
2	C=C	24	CCl4	-109.7	160.9
2	C=C	25	ACCl	100.1	70.32
2	C=C	26	CNO2	357.5	-1.996
2	C=C	28	CS2	76.302	16.62
2	C=C	30	Furfural	262.9	82.64
2	C=C	33	Br	183.8	174.6
2	C=C	34	C#C	31.14	41.38
2	C=C	35	DMSO	179	64.07
2	C=C	36	ACRY	-52.87	573
2	C=C	37	ClCC	-66.46	124.2
2	C=C	38	ACF	359.3	-131.7
2	C=C	39	DMF	-70.45	249
2	C=C	40	CF2	449.4	62.4
2	C=C	41	COO	48.33	1397
2	C=C	44	NMP	86.46	-16.11
2	C=C	46	CON	200.2	9.755
2	C=C	47	OCCOH	268.1	132.4
2	C=C	48	CH2S	-617	543.6
2	C=C	49	Morpholine	62.56	161.1
2	C=C	52	CH2SuCH2	200.94	384.45
2	C=C	53	Oxides	219.9	-2.8
2	C=C	54	Anhydride	-677.25	569.71
3	ACH	1	CH2	-11.12	61.13
3	ACH	2	C=C	3.446	38.81
3	ACH	3	ACH	0	0
3	ACH	4	ACCH2	167	-146.8
3	ACH	5	OH	636.1	89.6
