component	parameter a	parameter b [K-1]	parameter c [K-2]	parameter d [K-3]	parameter e [K-4]	Tmin_K	Tmax_K
Acetone	52.361	-0.1066	0	0	0	278	333
Ethanol	191.95	-1.3540	3.8877E-03	-4.1286E-06	0	163	353
Ethyl acetate	12.937	-0.0235	0	0	0	195	333
Benzene	2.8360	-0.0019	0	0	0	278	353
1-butanol	77.005	-0.2799	2.6699E-04	0	0	201	391
Chloroform	16.411	-0.0614	7.4304E-05	0	0	211	343
Cyclohexane	2.4624	-0.0015	0	0	0	281	333
1,4-dioxane	2.7426	-0.0018	0	0	0	293	363
Methyl acetate	15.824	-0.0299	0	0	0	278	333
Methanol	301.67	-2.3343	7.9275E-03	-1.2858E-05	7.9640E-09	163	511
1-propanol	129.85	-0.5867	7.3139E-04	0	0	139	370
Pyridine	25.344	-0.0403	0	0	0	273	398
Dimethyl sulfoxide	84.429	-0.1268	0	0	0	288	398
Tetrahydrofuran	22.578	-0.0688	6.2032E-05	0	0	218	473
Water	289.82	-1.1480	1.7843E-03	-1.0530E-06	0	273	643
