i	j	group i	ion j	aij [K]	aji [K]	bij	cij
6	31	Methanol	Li+	457.54	-1097.7	-1.5360	0.4620
6	32	Methanol	Na+	-638.64	-82.300	0.0500	0.4470
6	33	Methanol	K+	539.58	-54.099	-0.2250	0.4450
6	35	Methanol	Cs+	1820.0	-298.52	-0.0260	1.5490
6	37	Methanol	Mg2+	-2244.6	-651.99	3.2840	-1.2310
6	41	Methanol	NH4+	1584.6	786.63	-0.4210	0.4530
6	82	Methanol	Cl-	-222.05	-305.13	0.8500	-0.4100
6	83	Methanol	Br-	-793.97	562.00	0.2890	-0.4690
6	84	Methanol	I-	-1887.2	-771.09	2.3400	0.1510
6	87	Methanol	NO3-	-323.64	6703.6	5.2700	-0.3730
6	91	Methanol	SO42-	776.14	499.14	1.2290	-0.6180
6	100	Methanol	ClO4-	-647.12	1523.5	-1.8910	0.1300
7	31	Water	Li+	-1850.2	-1057.1	-0.7630	-0.0260
7	32	Water	Na+	-104.42	-233.53	0.0250	-0.0250
7	33	Water	K+	62.168	-23.145	-0.1110	-0.0260
7	35	Water	Cs+	148.42	119.67	0.8270	-0.0260
7	37	Water	Mg2+	-25.907	733.99	0.9820	-0.0320
7	41	Water	NH4+	-499.78	-140.69	-0.1230	-0.0260
7	82	Water	Cl-	48.089	121.67	0.2880	0.0250
7	83	Water	Br-	94.754	-112.72	-0.0240	0.0260
7	84	Water	I-	27.716	-140.98	0.8930	0.0250
7	87	Water	NO3-	363.28	1091.2	2.7930	0.0260
7	91	Water	SO42-	307.30	1578.1	0.4820	0.0380
7	100	Water	ClO4-	81.546	-177.88	-1.1180	0.0260
31	82	Li+	Cl-	-1153.3	168.93	0.3220	-0.5930
31	83	Li+	Br-	-1417.8	-706.04	0.4090	-0.3570
31	84	Li+	I-	-1634.2	-225.89	0.3410	1.0330
31	87	Li+	NO3-	2610.2	548.57	0.1290	-0.0820
31	91	Li+	SO42-	1342.2	-1121.0	-0.0240	-1.4150
31	100	Li+	ClO4-	-99.868	45.759	0.0530	0.0270
32	82	Na+	Cl-	-859.37	844.52	0.1980	-0.0410
32	83	Na+	Br-	-292.99	449.63	0.1930	-0.0200
32	84	Na+	I-	-67.149	-264.52	0.2580	-0.0440
32	87	Na+	NO3-	-21.782	39.350	0.0640	0.0790
32	91	Na+	SO42-	-881.98	125.53	0.2060	-0.2690
32	100	Na+	ClO4-	-43.722	33.743	0.0630	0.0620
33	82	K+	Cl-	33.180	61.031	0.1000	-0.1790
33	83	K+	Br-	-766.65	295.33	0.1680	0.1240
33	84	K+	I-	-666.31	-281.92	0.1530	0.2480
33	87	K+	NO3-	-374.30	-490.85	0.1050	-0.2220
33	91	K+	SO42-	-386.38	169.79	0.0710	-0.5090
33	100	K+	ClO4-	1717.2	873.47	0.2380	-1.1200
35	82	Cs+	Cl-	-321.15	662.20	0.1320	-0.4420
35	83	Cs+	Br-	263.60	-360.74	0.1300	-0.3090
35	84	Cs+	I-	355.48	-466.42	0.2040	-0.4340
35	87	Cs+	NO3-	-483.89	709.21	0.1460	-0.2230
35	91	Cs+	SO42-	309.87	-791.99	0.3630	0.3630
35	100	Cs+	ClO4-	781.78	213.78	0.1550	-1.1800
37	82	Mg2+	Cl-	-739.09	645.53	0.6310	0.2270
37	83	Mg2+	Br-	-61.403	-1162.9	0.7410	1.0850
37	84	Mg2+	I-	-245.96	-1213.1	0.9470	0.8370
37	87	Mg2+	NO3-	105.58	-339.91	0.5450	1.6320
37	91	Mg2+	SO42-	-1240.7	3722.5	0.6050	-1.2140
37	100	Mg2+	ClO4-	-1417.0	-773.31	1.1060	2.5780
41	82	NH4+	Cl-	862.56	49.600	0.0350	-0.1430
41	83	NH4+	Br-	748.63	81.166	0.0480	-0.1670
41	84	NH4+	I-	7907.3	31560	0.0210	-0.0565
41	87	NH4+	NO3-	214.92	58.618	0.0110	0.0000
41	91	NH4+	SO42-	-813.58	-419.00	0.2780	0.7900
41	100	NH4+	ClO4-	-517.54	-1107.2	0.1990	-0.2640
