Name;CAS_Number;Formula;Molar_Weight;Critical_Temperature;Critical_Pressure;Critical_Volume;Critical_Compressibility;Acentric_Factor;Z_Rackett;IG_Entropy_of_Formation_25C;IG_Enthalpy_of_Formation_25C;IG_Gibbs_Energy_of_Formation_25C;Dipole_Moment;DIPPR_Vapor_Pressure_Constant_A;DIPPR_Vapor_Pressure_Constant_B;DIPPR_Vapor_Pressure_Constant_C;DIPPR_Vapor_Pressure_Constant_D;DIPPR_Vapor_Pressure_Constant_E;DIPPR_Vapor_Pressure_TMIN;DIPPR_Vapor_Pressure_TMAX;Ideal_Gas_Heat_Capacity_Const_A;Ideal_Gas_Heat_Capacity_Const_B;Ideal_Gas_Heat_Capacity_Const_C;Ideal_Gas_Heat_Capacity_Const_D;Ideal_Gas_Heat_Capacity_Const_E;Liquid_Viscosity_Const_A;Liquid_Viscosity_Const_B;Liquid_Viscosity_Const_C;Liquid_Viscosity_Const_D;Liquid_Viscosity_Const_E;Normal_Boiling_Point;ID;isPf;isHYP;HVapA;HVapB;HvapC;HVapD;HvapTmin;HvapTMAX;UNI_Ri;UNI_Qi;UNIFAC_01_CH4;UNIFAC_02_CH3;UNIFAC_03_CH2;UNIFAC_04_CH;UNIFAC_05_H2O;UNIFAC_06_H2S;UNIFAC_07_CO2;UNIFAC_08_N2;UNIFAC_09_O2;UNIFAC_10_OH;UNIFAC_11_ACH;UNIFAC_12_ACCH2;UNIFAC_13_ACCH3;UNIFAC_14_ACOH;UNIFAC_15_CH3CO;UNIFAC_16_CH2CO;C_Element;H_Element;O_Element;N_Element;S_Element
Metano;74-82-8;CH4;16.043;190.564;4599000;0.0986;0.286;0.01155;2.89E-01;-5.023947677;-4645.1;-3147.21;0;39.205;-1324.4;-3.44;3.10E-05;2;90.64;190.56;3.62E+01;-5.11E-02;2.21E-04;-1.82E-07;4.89E-11;-61.572;178.15;-0.95239;-9.06E-24;10;111.66;1;0;0;10194000;0.26087;-0.14694;0.22154;90;190;1.129;1.124;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0
Etano;74-84-0;C2H6;30.07;305.32;4872000;0.1455;0.279;0.09949;2.81E-01;-5.788898206;-2787.5;-1061.54;0;51.857;-2598.7;-5.1283;1.49E-05;2;90.35;305.32;3.33E+01;-1.11E-02;3.57E-04;-3.76E-07;1.19E-10;-70.046;276.38;-0.6087;-3.11E-18;7;184.55;2;0;0;21091000;0.6046;-0.55492;0.32799;90;305;1.8022;1.696;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0
Propano;-;C3H8;44.097;369.83;4.25E+06;0.2;0.276;0.152291;2.76E-01;-5.241596512;-2373.9;-811.118;0.00E+00;59.078;-3492.6;-6.0669;0.000010919;2;85;369;2.96E+01;8.37E-02;3.25E-04;-3.96E-07;1.31E-10;-17.156;646.25;1.1101;-7.34E-11;4;231.11;3;0;0;29209000;0.78237;-0.77319;0.39246;85;370;2.4766;2.236;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0
nButano;-;C4H10;58.123;425.12;3.80E+06;0.255;0.274;0.200164;2.75E-01;-5.396015428;-2164.2;-555.378;0.00E+00;66.343;-4363.2;-7.046;9.45E-06;2;134;425;2.41E+01;2.09E-01;2.17E-04;-3.37E-07;1.16E-10;-72.471;534.82;-0.57469;-4.66E-27;10;272.65;4;0;0;36238000;0.8337;-0.82274;0.39613;135;425;3.151;2.776;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0
iButano;-;C4H10;58.123;407.8;3.64E+06;0.259;0.278;0.183521;2.73E-01;-5.398249203;-2322.5;-713.012;4.40E-31;108.43;-5039.9;-15.012;0.022725;1;113;408;2.42E+01;2.33E-01;1.28E-04;-2.44E-07;8.55E-11;-13.912;797.09;0.45308;0.00E+00;0;261.43;5;0;0;31880000;0.39006;0;0;113;408;3.1502;2.772;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0
nPentano;-;C5H12;72.15;469.7;3.37E+06;0.313;0.27;0.251506;2.72E-01;-5.839386215;-2034.1;-293.087;0.00E+00;78.741;-5420.3;-8.8253;9.62E-06;2;143;469;4.84E+00;4.15E-01;-8.09E-05;-1.01E-07;4.69E-11;-53.509;1836.6;7.1409;-0.000019627;2;309.22;6;0;0;39109000;0.38681;0;0;143;470;3.8254;3.316;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;0;0;0
iPentano;-;C5H12;72.15;460.4;3.38E+06;0.306;0.27;0.227875;2.68E-01;-5.577900386;-2130.3;-467.249;4.34E-31;71.308;-4976;-7.7169;8.73E-06;2;113;460;3.37E+01;2.49E-01;2.53E-04;-3.84E-07;1.29E-10;-12.596;889.11;0.20469;0.00E+00;0;300.994;7;0;0;37593000;0.39173;0;0;113;460;3.8246;3.312;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;12;0;0;0
nHexano;-;C6H14;86.177;507.6;3.03E+06;0.371;0.266;0.301261;2.63E-01;-6.490001677;-1937.2;-2.206;0.00E+00;104.65;-6995.5;-12.702;0.000012381;2;177;507;3.24E+01;3.45E-01;2.03E-04;-3.81E-07;1.33E-10;-20.715;1207.5;1.4993;0.00E+00;0;341.88;8;0;0;44544000;0.39002;0;0;178;507;4.4998;3.856;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;0;0
nHeptano;-;C7H16;100.204;540.2;2.74E+06;0.428;0.261;0.349469;2.60E-01;-7.191806138;-1872.7;271.537;0.00E+00;87.829;-6996.4;-9.8802;7.21E-06;2;182;540;3.76E+01;3.94E-01;2.59E-04;-4.74E-07;1.66E-10;-24.451;1533.1;2.0087;0.00E+00;0;371.58;9;0;0;50014000;0.38795;0;0;182;540;5.1742;4.396;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;16;0;0;0
nOctano;-;C8H18;114.231;568.7;2.49E+06;0.486;0.256;0.399552;2.57E-01;-7.913798424;-1827.4;532.099;0.00E+00;96.084;-7900.2;-11.003;7.18E-06;2;216;568;3.72E+01;4.81E-01;2.42E-04;-5.17E-07;1.88E-10;-20.463;1497.4;1.379;0;0;398.83;10;0;0;55180000;0.38467;0;0;216;569;5.8486;4.936;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8;18;0;0;0
nNonano;-;C9H20;128.258;594.6;2.29E+06;0.544;0.252;0.44346;2.54E-01;-8.767865169;-1783.4;830.739;0.00E+00;109.35;-9030.4;-12.882;7.85E-06;2;220;594;3.30E+01;5.71E-01;2.65E-04;-6.30E-07;2.39E-10;-21.149;1658;1.454;0.00E+00;0;423.97;11;0;0;60370000;0.38522;0;0;220;594;6.523;5.476;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;9;20;0;0;0
nDecano;-;C10H22;142.285;617.7;2.11E+06;0.6;0.247;0.492328;2.51E-01;-9.581217508;-1753.2;1103.44;0.00E+00;112.73;-9749.6;-13.245;7.13E-06;2;243;617;1.21E+02;-7.58E-02;2.36E-03;-3.21E-06;1.34E-09;-17.255;1576;0.86191;0.00E+00;0;447.305;12;0;0;66126000;0.39797;0;0;243;617;7.1974;6.016;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;10;22;0;0;0
Oxigenio;-;O2;31.999;154.58;5.04E+06;0.0734;0.288;0.0221798;2.90E-01;0;0.00E+00;0.00E+00;0.00E+00;51.245;-1200.2;-6.4361;0.028405;1;54;154;2.97E+01;-9.90E-03;3.99E-05;-3.39E-08;9.18E-12;-41.476;94.04;-1.207;0;0;90.188;13;0;0;9008000;0.4542;-0.4096;0.3183;54;154;0.733;0.849;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
Nitrogenio;-;N2;28.014;126.2;3.40E+06;0.08921;0.289;0.0377215;2.90E-01;0;0.00E+00;0.00E+00;0.00E+00;58.282;-1084.1;-8.3144;0.044127;1;63;126;2.98E+01;-7.01E-03;1.74E-05;-8.48E-09;9.34E-13;16.004;-181.61;-5.1551;0;0;77.344;14;0;0;7490500;0.40406;-0.317;0.27343;63;126;0.856;0.93;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
Agua;7732-18-5;H2O;18.015;647.13;22055000;5.59E-02;0.229;0.34486;2.37E-01;-19.44648667;-1.34E+04;-7602.03;6.17E-30;73.649;-7258.2;-7.3037;4.17E-06;2;273.16;647.13;3.38E+01;-5.94E-03;2.24E-05;-9.96E-09;1.10E-12;-52.843;3703.6;5.866;-5.88E-29;10;373.15;15;0;0;52053000;0.3199;-0.212;0.25795;273;647;0.92;1.4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
DioxidoDeCarbono;-;CO2;44.01;304.21;7.38E+06;0.094;0.274;0.223621;2.72E-01;13.99832299;-8941.4;-1.31E+04;0.00E+00;140.54;-4735;-21.268;0.040909;1;216.58;304.21;2.92E+01;-2.24E-02;2.65E-04;-4.15E-07;2.01E-10;18.775;-402.92;-4.6854;-6.92E-26;10;0;16;0;0;21730000;0.382;-0.4339;0.42213;216.58;304;1.3;0.982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0
SulfetoDeHidrogenio;-;H2S;34.082;373.53;8.96E+06;0.0985;0.284;0.0941677;2.81E-01;1.699748449;-605.31;-1112.09;3.23E-30;85.584;-3839.9;-11.199;0.018848;1;187.58;373.53;3.39E+01;-1.19E-02;5.38E-05;-3.77E-08;8.59E-12;-10.905;762.11;-0.11863;0.00E+00;0;212.8;17;0;0;25676000;0.37358;0;0;187;373;1.235;1.202;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
Benzeno;-;C6H6;78.114;562.1;4893997.5;0.259;0.271;0.212;0.2698;-10.90055341;1.06E+03;4310;0;83.10597439;-6486.200002;-9.225897362;6.89E-06;2;280;377;33.9172668;0.47436444;-0.000301701;7.13E-08;0;-24.43032955;1533.100064;2.128986324;0;0;353.3;18;0;0;44623896.04;0.374997654;0;0;224.84;562.1;3.1878;2.4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;6;0;0;0
Tolueno;-;C7H8;92.141;591.7;4113795;0.316;0.264;0.257;0.2644;-11.80583599;5.44E+02;4063.91;0;82.40906573;-6589.532181;-9.169627;6.89E-06;2;280;410;-24.3546156;0.51246432;-0.000276538;4.91E-08;0;-24.53112502;1265.989381;2.28631802;0;0;383.8;19;0;0;49147131.83;0.375000339;0;0;236.68;591.7;3.6961;2.66;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;7;8;0;0;0
Oxileno;-;C8H10;106.168;630.2;3728760;0.369;0.263;0.314;0.262;-13.00436022;1.80E+02;4057.25;0;81.45696408;-6764.858844;-9.059331361;6.89E-06;2;305;445;-15.8512248;0.59620032;-0.000344322;7.53E-08;0;-24.42535869;1267.019911;2.291443466;0;0;417.6;20;0;0;55377482.99;0.375000345;0;0;252.08;630.2;4.2044;2.92;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;8;10;0;0;0
Mxileno;-;C8H10;106.168;617;3546375;0.376;0.26;0.331;0.2625;-12.67650511;1.70E+02;3949.5;0;81.46007933;-6780.324692;-9.040191598;6.89E-06;2;300;440;-29.1652488;0.62969472;-0.000374719;8.48E-08;0;-24.50161164;1266.373909;2.287507923;0;0;412.3;21;0;0;55028716.78;0.374999393;0;0;246.8;617;4.2044;2.92;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;8;10;0;0;0
Pxileno;-;C8H10;106.168;616.2;3515977.5;0.379;0.26;0.324;0.2592;-12.99446587;1.63E+02;4037.3;0;81.45866652;-6780.341119;-9.040302303;6.89E-06;2;300;440;-25.0914924;0.60415524;-0.000337372;6.82E-08;0;-24.49199069;1266.477442;2.287949597;0;0;411.5;22;0;0;54432321.17;0.37499954;0;0;246.48;616.2;4.2044;2.92;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;8;10;0;0;0
Etilbenzeno;-;C8H10;106.168;617.1;3607170;0.374;0.263;0.301;0.30347;-13.63602214;2.82E+02;4347.58;0;81.53200029;-6754.198772;-9.054950182;6.89E-06;2;300;450;-43.0989192;0.70715052;-0.000481063;1.30E-07;0;-24.47689632;1266.623604;2.288674143;0;0;409.3;23;0;0;53526344.16;0.375000513;0;0;246.84;617.1;4.8239;3.816;0;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;8;10;0;0;0
Fenol;-;C6H5OH;94.113;694.2;6130162.5;0.229;0.24;0.44;0.278;0.219285594;-1.02E+03;-1085.38;0;80.37085021;-6997.380026;-8.886812662;6.89E-06;2;345;481;35.8431948;0.59829372;-0.000482738;1.53E-07;0;-21.55738102;1969.466167;1.569668664;0;0;455;24;0;0;68050373.35;0.375001219;0;0;277.68;694.2;3.5517;2.68;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;6;6;1;0;0
Glicerol;-;C3H8O3;92.095;726;6687450;0.255;0.28;0.51269;0;28.80764716;-6.28E+03;-1.49E+04;0;75.26398175;-8202.723796;-8.064734562;6.89E-06;2;440;600;8.4238416;0.44421948;-0.000315894;9.38E-08;0;-22.8178805;3697.090098;1.137496425;0;0;563;25;0;0;107032716.8;0.375001542;0;0;290.4;726;4.7957;4.908;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;3;8;3;0;0
Metanol;-;CH3OH;32.042;512.6;8095867.5;0.118;0.224;0.559;0.2334;-2.924232769;-6.27E+03;-5398.14;0;79.4834234;-6703.475707;-8.384841112;6.89E-06;2;257;364;21.1517136;0.070924392;2.59E-05;-2.85E-08;0;-27.20590722;3126.504917;1.079640505;0;0;337.8;26;0;0;52810129.22;0.374999142;0;0;205.04;512.6;1.9011;2.048;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;1;0;0
Etanol;-;C2H5OH;46.069;516.2;6383475;0.167;0.248;0.635;0.2502;1.616803622;-5.10E+03;-5582.05;0;78.83471789;-6955.286607;-8.230099775;6.89E-06;2;270;369;9.0141804;0.214071084;-8.39E-05;1.37E-09;0;-17.43997901;1030.095766;1.238575247;0;0;351.5;27;0;0;59503155.91;0.375000345;0;0;206.48;516.2;2.5755;2.588;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;6;1;0;0
Isopropanol;-;C3H7OH;60.096;508.3;4762275;0.22;0.248;0.66687;0.2493;4.121918497;-4.54E+03;-5768.95;0;78.5883276;-7032.19023;-8.177091649;6.89E-06;2;273;374;32.426766;0.188489736;6.41E-05;-9.26E-08;0;-17.54546742;1414.309135;1.085239985;0;0;355.4;28;0;0;62540591.24;0.375001395;0;0;203.32;508.3;3.2491;3.124;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;8;1;0;0
1Pentanol;-;C5H11OH;88.15;586;3850350;0.326;0.26;0.58;0.2596;4.917424115;-3.39E+03;-4856.13;0;77.47969483;-7009.931773;-8.276576824;6.89E-06;2;310;411;3.8686032;0.5045094;-0.000263936;5.12E-08;0;-17.44616753;1474.27939;1.076432391;0;0;411;29;0;0;69824960.29;0.375000764;0;0;234.4;586;4.5987;4.208;0;1;4;0;0;0;0;0;0;1;0;0;0;0;0;0;5;12;1;0;0
1Hexanol;-;C6H13OH;102.177;610;4053000;0.381;0.3;0.56;0;4.593761529;-3.10E+03;-4469.63;0;76.40501014;-7458.883212;-8.006098483;6.89E-06;2;308;430;4.8106332;0.58908276;-0.000300989;5.43E-08;0;-17.37769686;1476.251086;1.077866807;0;0;430.2;30;0;0;76787913.84;0.375000302;0;0;244;610;5.2731;4.748;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;6;14;1;0;0
1Heptanol;-;C7H15OH;116.204;633;3039750;0.435;0.25;0.56;0;4.283078987;-2.89E+03;-4167;0;76.80593668;-6883.964084;-8.353171299;6.89E-06;2;333;449;4.9069296;0.67784292;-0.000344657;6.05E-08;0;-17.59199478;1629.514366;1.044788059;0;0;449.5;31;0;0;76602519.05;0.37500033;0;0;253.2;633;5.9475;5.288;0;1;6;0;0;0;0;0;0;1;0;0;0;0;0;0;7;16;1;0;0
1Octanol;-;C8H17OH;130.231;652.5;3445050;0.49;0.31;0.53;0;3.72661412;-2.73E+03;-3841.09;0;76.22720544;-7031.927561;-8.270105279;6.89E-06;2;343;468;6.1713432;0.76074156;-0.000379701;6.26E-08;0;-17.32909946;1647.09913;1.005872658;0;0;468.4;32;0;0;81421751.05;0.375000773;0;0;261;58;6.6219;5.828;0;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;8;18;1;0;0
1Decanol;-;C10H21OH;158.285;700;2229150;0.6;0.23;0.62192;0;2.600637263;-2.51E+03;-3285.38;0;75.81649436;-7045.430316;-8.294053114;6.89E-06;2;376;503;14.570064;0.89471916;-0.000392094;3.45E-08;0;-17.5401189;1828.44729;0.97612279;0;0;503.4;33;0;0;80887436.13;0.374999407;0;0;280;700;7.9707;6.908;0;1;9;0;0;0;0;0;0;1;0;0;0;0;0;0;10;22;1;0;0
