main;group;subgroup;no.;Ri;Qi;Example;Sample groups
1;CH3;CH3;1;0.6325;1.0608;Hexane;2*CH3 4*CH2
1;CH3;CH2;2;0.6325;0.7081;Octane;2*CH3 6*CH2
1;CH3;CH;3;0.6325;0.3554;Isobutane;3*CH3 1*CH
1;CH3;C;4;0.6325;0;Neopentane;4*CH3 1*C
2;C=C;CH2=CH;5;1.2832;1.6016;1-Hexene;1*CH3 3*CH2 1*CH2=CH
2;C=C;CH=CH;6;1.2832;1.2489;2-Hexene;2*CH3 2*CH2 1*CH=CH
2;C=C;CH2=C;7;1.2832;1.2489;2-Methyl-1-Butene;2*CH3 1*CH2 1*CH2=C
2;C=C;CH=C;8;1.2832;0.8962;2-Methyl-2-Butene;3*CH3 1*CH=C
2;C=C;C=C;70;1.2832;0.4582;2-3-Dimethyl-2-Butene;4*CH3 1*C=C
3;ACH;ACH;9;0.3763;0.4321;Naphthalene;8*ACH 2*AC
3;ACH;AC;10;0.3763;0.2113;styrene;1*CH2=CH 5*ACH 1*AC
4;ACCH2;ACCH3;11;0.91;0.949;Toluene;5*ACH 1*ACCH3
4;ACCH2;ACCH2;12;0.91;0.7962;Ethylbenzene;1*CH3 5*ACH 1*ACCH2
4;ACCH2;ACCH;13;0.91;0.3769;Cumene;2*CH3 5*ACH 1*ACCH
5;OH;OH;14;1.2302;0.8927;1-Propanol;2*CH2 1*CH3 1*OH
5;OH;OH(e);81;1.063;0.8663;Isopropylalkohol;2*CH3 1*CH 1*OH(e)
5;OH;OH(t);82;0.6895;0.8345;Tert-Butanol;3*CH3 1*C 1*OH(t)
6;CH3OH;CH3OH;15;0.8585;0.9938;Methanol;1*CH3OH
7;H2O;H2O;16;1.7334;2.4561;Water;1*H20
8;ACOH;ACOH;17;1.08;0.975;Phenol;5*ACH 1*ACOH
9;CH2CO;CH3CO;18;1.7048;1.67;Butanone;1*CH3 1*CH2 1*CH3CO
9;CH2CO;CH2CO;19;1.7048;1.5542;3-Pentanone;2*CH3 1*CH2 1*CH2CO
10;CHO;CHO;20;0.7173;0.771;Propanal;1*CH3 1*CH2 1*CHO
11;CCOO;CH3COO;21;1.27;1.6286;Butylacetate;1*CH3 3*CH2 1*CH3COO
11;CCOO;CH2COO;22;1.27;1.4228;Methylpropionate;2*CH3 1*CH2COO
12;HCOO;HCOO;23;1.9;1.8;Ethylformate;1*CH3 1*CH2 1*HCOO
13;CH2O;CH3O;24;1.1434;1.6022;Dimethylether;1*CH3 1*CH3O
13;CH2O;CH2O;25;1.1434;1.2495;Diethylether;2*CH3 1*CH2 1*CH2O
13;CH2O;CHO;26;1.1434;0.8968;Diisopropylether;4*CH3 1*CH 1*CHO
14;CNH2;CH3NH2;28;1.6607;1.6904;Methylamine;1*CH3NH2
14;CNH2;CH2NH2;29;1.6607;1.3377;Ethylamine;1*CH3 1*CH2NH2
