1/8;0.405;---;---;10S;0.490;0.307
1/8;0.405;STD;40;40S;0.068;0.269
1/8;0.405;XS;80;80S;0.095;0.215
1/4;0.54;---;---;10S;0.065;0.410
1/4;0.54;STD;40;40S;0.088;0.364
1/4;0.54;XS;80;80S;0.119;0.302
3/8;0.675;---;---;10S;0.065;0.545
3/8;0.675;STD;40;40S;0.091;0.493
3/8;0.675;XS;80;80S;0.126;0.423
1/2;0.84;---;---;5S;0.065;0.710
1/2;0.84;---;---;10S;0.083;0.674
1/2;0.84;STD;40;40S;0.109;0.622
1/2;0.84;XS;80;80S;0.147;0.546
1/2;0.84;---;160;---;0.187;0.466
1/2;0.84;XXS;---;---;0.294;0.252
3/4;1.05;---;---;5S;0.065;0.920
3/4;1.05;---;---;10S;0.083;0.884
3/4;1.05;STD;40;40S;0.113;0.824
3/4;1.05;XS;80;80S;0.154;0.742
3/4;1.05;---;160;---;0.219;0.612
3/4;1.05;XXS;---;---;0.308;0.434
1;1.315;---;---;5S;0.065;1.185
1;1.315;---;---;10S;0.109;1.097
1;1.315;STD;40;40S;0.140;1.049
1;1.315;XS;80;80S;0.191;0.957
1;1.315;---;160;---;0.250;0.815
1;1.315;XXS;---;---;0.382;0.599
1 1/4;1.66;---;---;5S;0.065;1.530
1 1/4;1.66;---;---;10S;0.109;1.442
1 1/4;1.66;STD;40;40S;0.140;1.380
1 1/4;1.66;XS;80;80S;0.191;1.278
1 1/4;1.66;---;160;---;0.250;1.160
1 1/4;1.66;XXS;---;---;0.382;0.896
1 1/2;1.9;---;---;5S;0.065;1.770
1 1/2;1.9;---;---;10S;0.109;1.682
1 1/2;1.9;STD;40;40S;0.145;1.610
1 1/2;1.9;XS;80;80S;0.200;1.500
1 1/2;1.9;---;160;---;0.281;1.338
1 1/2;1.9;XXS;---;---;0.400;1.100
2;2.375;---;---;5S;0.065;2.245
2;2.375;---;---;10S;0.109;2.157
2;2.375;STD;40;40S;0.154;2.067
2;2.375;XS;80;80S;0.218;1.939
2;2.375;---;160;---;0.344;1.687
2;2.375;XXS;---;---;0.436;1.503
2 1/2;2.875;---;---;5S;0.083;2.709
2 1/2;2.875;---;---;10S;0.120;2.635
2 1/2;2.875;STD;40;40S;0.203;2.469
2 1/2;2.875;XS;80;80S;0.276;2.323
2 1/2;2.875;---;160;---;0.375;2.125
2 1/2;2.875;XXS;---;---;0.552;1.771
3;3.5;---;---;5S;0.083;3.334
3;3.5;---;---;10S;0.120;3.260
3;3.5;STD;40;40S;0.216;3.068
3;3.5;XS;80;80S;0.300;2.900
3;3.5;---;160;---;0.438;2.624
3;3.5;XXS;---;---;0.600;2.300
3 1/2;4;---;---;5S;0.083;3.834
3 1/2;4;---;---;10S;0.120;3.760
3 1/2;4;STD;40;40S;0.226;3.548
3 1/2;4;XS;80;80S;0.318;3.364
4;4.5;---;---;5S;0.083;4.334
4;4.5;---;---;10S;0.120;4.260
4;4.5;STD;40;40S;0.237;4.026
4;4.5;XS;80;80S;0.337;3.826
4;4.5;---;120;---;0.438;3.624
4;4.5;---;160;---;0.531;3.438
4;4.5;XXS;---;---;0.674;3.152
5;5.563;---;---;5S;0.109;5.345
5;5.563;---;---;10S;0.134;5.925
5;5.563;STD;40;40S;0.258;5.047
5;5.563;XS;80;80S;0.375;4.813
5;5.563;---;120;---;0.500;4.563
5;5.563;---;160;---;0.625;4.313
5;5.563;XXS;---;---;0.750;4.063
6;6.625;---;---;5S;0.109;6.407
6;6.625;---;---;10S;0.134;6.357
6;6.625;STD;40;40S;0.280;6.065
6;6.625;XS;80;80S;0.432;5.761
6;6.625;---;120;---;0.562;5.501
6;6.625;---;160;---;0.719;5.187
6;6.625;XXS;---;---;0.864;4.897
8;8.625;---;---;5S;0.109;8.407
8;8.625;---;---;10S;0.148;8.329
8;8.625;---;20;---;0.250;8.125
8;8.625;---;30;---;0.277;8.071
8;8.625;STD;40;40S;0.322;7.981
8;8.625;---;60;---;0.406;7.813
8;8.625;XS;80;80S;0.500;7.625
8;8.625;---;100;---;0.594;7.437
8;8.625;---;120;---;0.719;7.187
8;8.625;---;140;---;0.812;7.001
8;8.625;XXS;---;---;0.875;6.875
8;8.625;---;160;---;0.906;6.813
10;10.75;---;---;5S;0.134;10.482
10;10.75;---;---;10S;0.165;10.420
10;10.75;---;20;---;0.250;10.250
10;10.75;---;30;---;0.307;10.136
10;10.75;STD;40;40S;0.365;10.020
10;10.75;XS;60;80S;0.500;9.750
10;10.75;---;80;---;0.594;9.562
10;10.75;---;100;---;0.719;9.312
10;10.75;---;120;---;0.844;9.062
10;10.75;XXS;140;---;1.000;8.750
10;10.75;---;160;---;1.125;8.500
12;12.75;---;---;5S;0.156;12.438
12;12.75;---;---;10S;0.180;12.390
12;12.75;---;20;---;0.250;12.250
12;12.75;---;30;---;0.330;12.090
12;12.75;STD;---;40S;0.375;12.000
12;12.75;---;40;---;0.406;11.938
12;12.75;XS;---;80S;0.500;11.750
12;12.75;---;60;---;0.562;11.626
12;12.75;---;80;---;0.688;11.374
12;12.75;---;100;---;0.844;11.062
12;12.75;XXS;120;---;1.000;10.720
12;12.75;---;140;---;1.125;10.500
12;12.75;---;160;---;1.312;10.126
14;14;---;---;5S;0.156;13.688
14;14;---;---;10S;0.188;13.624
