Componente	Dbname	Sup25	Inf25	Sup20	Inf20	Sup15	Inf15	Sup0	Inf0
Metano	74-82-8	55.516	50.029	55.545	50.032	55.574	50.035	55.662	50.043
Etano	74-84-0	51.9	47.51	51.93	47.51	51.95	47.52	52.02	47.53
Propano	74-98-6	50.33	46.33	50.35	46.34	50.37	46.34	50.44	46.35
n-Butano	106-97-8	49.51	45.72	49.53	45.72	49.55	45.72	49.62	45.74
2-Metilpropano	75-28-5	49.35	45.56	49.37	45.56	49.39	45.57	49.45	45.57
n-Pentano	109-66-0	49.01	45.35	49.03	45.35	49.04	45.35	49.1	45.36
2-Metilbutano	78-78-4	48.91	45.25	48.93	45.25	48.95	45.25	49.01	45.26
2.2 Dimetilpropano		48.71	45.05	48.73	45.05	48.75	45.06	48.81	45.06
n-Hexano	110-54-3	48.68	45.1	48.7	45.1	48.72	45.11	48.77	45.11
2-Metilpentano		48.59	45.01	48.61	45.02	48.63	45.02	48.69	45.02
3-Metilpentano		48.62	45.04	48.64	45.05	48.66	45.05	48.72	45.06
2,2 dimetilbutano		48.48	44.9	48.49	44.9	48.51	44.91	48.57	44.91
2,3 dimetil butano		48.57	44.99	48.59	44.99	48.6	45	48.66	45
n-Heptano	142-82-5	48.44	44.92	48.45	44.92	48.47	44.93	48.53	44.93
n-Octano	111-65-9	48.25	44.78	48.27	44.79	48.29	44.79	48.34	44.79
n-Nonano	111-84-2	48.12	44.68	48.13	44.69	48.15	44.69	48.21	44.69
n-Decano	124-18-5	48	44.6	48.02	44.6	48.04	44.6	48.09	44.61
Eteno		50.3	47.16	50.32	47.17	50.34	47.17	50.39	47.17
Propeno		48.91	45.77	48.92	45.77	48.94	45.77	48.99	45.78
1-Buteno		48.42	45.28	48.44	45.29	48.46	45.29	48.51	45.29
cis-2-Buteno		48.3	45.16	48.32	45.16	48.33	45.17	48.39	45.17
trans-2-Buteno		48.24	45.1	48.25	45.1	48.27	45.1	48.32	45.11
2-Metilpropeno		48.13	44.99	48.14	44.99	48.16	44.99	48.21	44.99
1-Penteno		48.13	44.99	48.14	44.99	48.16	44.99	48.21	45
Propadieno		48.5	46.3	48.51	46.3	48.52	46.3	48.55	46.3
1.2-Butadieno		47.95	45.51	47.96	45.51	47.98	45.51	48.01	45.51
1.3-Butadieno		46.97	44.53	46.98	44.53	47	44.53	47.03	44.53
Acetileno		49.97	48.28	49.97	48.28	49.98	48.27	50	48.27
Ciclopentano		47.33	44.19	47.35	44.2	47.37	44.2	47.43	44.21
Metilciclopentano		47.16	44.03	47.18	44.03	47.2	44.03	47.25	44.04
Etilciclopentano		47.14	44	47.16	44	47.17	44.01	47.23	44.01
Ciclo-hexano		46.97	43.83	46.99	43.83	47.01	43.84	47.06	43.85
Metilciclo-hexano		46.86	43.72	46.87	43.72	46.89	43.72	46.94	43.73
Etilciclo-hexano		46.9	43.76	46.92	43.77	46.94	43.77	46.99	43.78
Benzeno		42.26	40.57	42.27	40.58	42.28	40.58	42.31	40.58
Tolueno		42.85	40.94	42.86	40.94	42.87	40.94	42.9	40.94
Etilbenzeno		43.4	41.32	43.41	41.32	43.42	41.33	43.45	41.33
o-Xileno		43.29	41.22	43.3	41.22	43.31	41.22	43.35	41.23
Metanol	67-56-1	23.85	21.1	23.86	21.1	23.88	21.1	23.92	21.11
Metanotiol		25.76	23.93	25.77	23.93	25.78	23.93	25.81	23.93
Hidrogênio	1333-74-0	141.79	119.95	141.87	119.93	141.95	119.91	142.19	119.83
Água	7732-18-5	2.44	0	2.45	0	2.47	0	2.5	0
Sulfetodehidrogênio	7783-06-4	16.49	15.2	16.5	15.2	16.5	15.2	16.52	15.19
Amônia		22.48	18.6	22.5	18.6	22.52	18.61	22.58	18.61
Cianetodehidrogênio		24.85	24.03	24.85	24.03	24.85	24.03	24.86	24.03
Monóxidodecarbono	630-08-0	10.1	10.1	10.1	10.1	10.1	10.1	10.1	10.1
Sulfetodecarbonila		9.13	9.13	9.12	9.12	9.12	9.12	9.12	9.12
Dissulfetodecarbono		14.51	14.51	14.5	14.5	14.5	14.5	14.5	14.5
