Componente	Dbname	Sup1515	Inf1515	Sup00	Inf00	Sup150	Inf150	Sup250	Inf250	Sup2020	Inf2020	Sup2520	Inf2520
Metano	74-82-8	37.706	33.948	39.84	35.818	39.777	35.812	39.735	35.808	37.044	33.367	37.024	33.365
Etano	74-84-0	66.07	60.43	69.79	63.76	69.69	63.75	69.63	63.74	64.91	59.39	64.88	59.39
Propano	74-98-6	93.94	86.42	99.22	91.18	99.09	91.16	99.01	91.15	92.29	84.94	95.25	84.93
n-Butano	106-97-8	121.79	112.4	128.66	118.61	128.48	118.57	128.37	118.56	119.66	110.47	119.62	110.47
2-Metilpropano	75-28-5	121.4	112.01	128.23	118.18	128.07	118.16	127.96	118.15	119.28	110.09	119.23	110.08
n-Pentano	109-66-0	149.66	138.38	158.07	146	157.87	145.98	157.75	145.96	147.04	136.01	146.99	136.01
2-Metilbutano	78-78-4	149.36	138.09	157.76	145.69	157.57	145.67	157.44	145.66	146.76	135.72	146.7	135.72
2.2-Dimetilpropano		148.76	137.49	157.12	145.06	156.93	145.04	156.8	145.02	146.16	135.13	146.11	135.13
n-Hexano	110-54-3	177.55	164.4	187.53	173.45	187.3	173.43	187.16	173.41	174.46	161.59	174.39	161.58
2-Metilpentano		177.23	164.08	187.19	173.11	186.96	173.09	186.82	173.07	174.14	161.27	174.07	161.26
3-Metilpentano		177.34	164.19	187.3	173.23	187.08	173.2	186.93	173.19	174.25	161.38	174.18	161.37
2.2-Dimetilbutano		176.82	163.66	186.75	172.67	186.53	172.65	186.38	172.63	173.73	160.86	173.66	160.86
2.3-Dimetilbutano		177.15	163.99	187.1	173.02	186.87	173	186.73	172.98	174.05	161.19	173.99	161.18
n-Heptano	142-82-5	205.42	190.39	216.96	200.87	216.7	200.84	216.53	200.82	201.84	187.13	201.76	187.12
n-Octano	111-65-9	233.28	216.37	246.38	228.28	246.1	228.25	245.91	228.23	229.22	212.67	229.13	212.66
n-Nonano	111-84-2	261.19	242.4	275.85	255.74	275.53	255.71	275.32	255.69	256.64	238.25	256.54	238.24
n-Decano	124-18-5	289.06	268.39	305.29	283.16	304.94	283.13	304.71	283.11	284.03	263.8	283.92	263.79
Eteno		59.72	55.96	63.06	59.04	63	59.04	62.96	59.03	58.68	55.01	58.66	55
Propeno		87.1	81.46	91.98	85.94	91.88	85.93	91.82	85.93	85.58	80.07	85.55	80.06
1-Buteno		114.98	107.46	121.42	113.38	121.29	113.36	121.21	113.36	112.98	105.63	112.94	105.62
cis-2-Buteno		114.69	107.18	121.12	113.08	120.99	113.06	120.91	113.05	112.7	105.34	112.66	105.34
trans-2-Buteno		114.54	107.02	120.96	112.91	120.83	112.9	120.75	112.89	112.55	105.19	112.51	105.19
2-Metilpropeno		114.27	106.76	120.67	112.63	120.55	112.62	120.47	112.61	112.29	104.93	112.25	104.93
1-Penteno		142.85	133.46	150.86	140.8	150.7	140.79	150.59	140.77	140.37	131.18	140.32	131.17
Propadieno		82.21	78.46	86.79	82.76	86.73	82.76	86.69	82.76	80.79	77.12	80.78	77.12
1.2-Butadieno		109.75	104.12	115.87	109.84	115.78	109.83	115.72	109.83	107.85	102.34	107.83	102.34
1.3-Butadieno		107.51	101.87	113.51	107.47	113.42	107.47	113.36	107.46	105.65	100.13	105.62	100.13
Acetileno		55.04	53.16	58.08	56.07	58.06	56.08	58.05	56.08	54.09	52.25	54.09	52.26
Ciclopentano		140.5	131.11	148.4	138.34	148.22	138.31	148.1	138.28	138.05	128.86	138	128.85
Metilciclopentano		168	156.73	177.43	165.37	177.23	165.34	177.1	165.31	165.08	154.04	165.01	154.03
Etilciclopentano		195.9	182.74	206.89	192.81	206.65	192.78	206.5	192.75	192.48	179.61	192.41	179.6
Ciclo-hexano		167.31	156.03	176.7	164.64	176.5	164.6	176.36	164.58	164.39	153.36	164.33	153.35
Metilciclo-hexano		194.72	181.56	205.64	191.57	205.41	191.53	205.26	191.51	191.32	178.45	191.25	178.44
Etilciclo-hexano		222.75	207.72	235.25	219.16	234.98	219.13	234.81	219.1	218.87	204.16	218.79	204.15
Benzeno		139.69	134.05	147.45	141.42	147.36	141.41	147.29	141.4	137.27	131.76	137.24	131.75
Tolueno		167.05	159.53	176.35	168.31	176.22	168.29	176.13	168.28	164.16	156.8	164.12	156.8
Etilbenzeno		194.95	185.55	205.81	195.76	205.65	195.74	205.55	195.73	191.57	182.38	191.52	182.37
o-Xileno		194.49	185.09	205.32	195.27	205.17	195.26	205.06	195.24	191.12	181.93	191.07	181.92
Metanol	67-56-1	32.36	28.6	34.2	30.18	34.13	30.17	34.09	30.16	31.78	28.11	31.76	28.1
Metanotiol		52.45	48.7	55.4	51.37	55.33	51.37	55.3	51.37	51.54	47.86	51.52	47.86
Hidrogênio	1333-74-0	12.102	10.223	12.788	10.777	12.767	10.784	12.752	10.788	11.889	10.05	11.882	10.052
Água	7732-18-5	1.88	0	2.01	0	1.98	0	1.96	0	1.84	0	1.83	0
